system.cpu0.numCycles                          147180                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.128205                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.886364                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         260276                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     165                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        253381                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   123                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               23441                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            39679                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 93                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             123195                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.056747                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.465444                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    57835     46.95%     46.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    11025      8.95%     55.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    10004      8.12%     64.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                     9889      8.03%     72.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                     8908      7.23%     79.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     6841      5.55%     84.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    10259      8.33%     93.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     6182      5.02%     98.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2252      1.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               123195                       # Number of insts issued each cycle (Count)
