
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000098                       # Number of seconds simulated (Second)
simTicks                                     98410514                       # Number of ticks simulated (Tick)
finalTick                                    98410514                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.38                       # Real time elapsed on the host (Second)
hostTickRate                                260655523                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     695444                       # Number of bytes of host memory used (Byte)
simInsts                                       130500                       # Number of instructions simulated (Count)
simOps                                         237083                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   345585                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     627827                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                          147543                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.130598                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.884488                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         260379                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     165                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        253488                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   123                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               23455                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            39660                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 93                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             123325                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.055447                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.465152                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    57934     46.98%     46.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    11036      8.95%     55.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    10005      8.11%     64.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                     9892      8.02%     72.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                     8910      7.22%     79.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     6849      5.55%     84.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    10264      8.32%     93.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     6183      5.01%     98.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2252      1.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               123325                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   8158     97.89%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     97.89% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     97.89% # attempts to use FU when none available (Count)
