
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000348                       # Number of seconds simulated (Second)
simTicks                                    347759793                       # Number of ticks simulated (Tick)
finalTick                                   347759793                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.56                       # Real time elapsed on the host (Second)
hostTickRate                                223195527                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     696468                       # Number of bytes of host memory used (Byte)
simInsts                                       715321                       # Number of instructions simulated (Count)
simOps                                        1420628                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   459081                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     911734                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                          521380                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.728876                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.371976                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                        1450378                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     172                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                       1440709                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               29916                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            50222                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                100                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             492354                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.926165                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.906584                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    65960     13.40%     13.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    40512      8.23%     21.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   130230     26.45%     48.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    75275     15.29%     63.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    46292      9.40%     72.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    88977     18.07%     90.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    34823      7.07%     97.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     7359      1.49%     99.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2926      0.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               492354                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   8463     24.57%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     24.57% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     24.57% # attempts to use FU when none available (Count)
